STARTUP,ASSUNTO,RESUMO
Chatwoot,ENTERPRISETECH,"O Chatwoot é uma plataforma de comunicação com o cliente de código aberto, criada como uma alternativa aos serviços como Intercom, Zendesk e Salesforce Service Cloud. Inicialmente desenvolvida como software proprietário em 2017, tornou-se de código aberto em 2019 devido a preocupações com a privacidade dos dados e recebeu grande apoio da comunidade."
Clinc,ENTERPRISETECH,"A Clinc é líder mundial em pesquisa de IA conversacional e seu pedido de financiamento. Estamos em uma missão para empurrar o limites da IA conversacional, capacitando instituições para entregar uma nova e revolucionária IA experiência para seus clientes."
Genesys,ENTERPRISETECH,"A Genesys® é líder em experiências de cliente, atendendo mais de 25 bilhões de interações anualmente. Sua plataforma omnicanal é confiada por 11.000 empresas em 100+ países, oferecendo comunicação natural e eficaz, tanto em canais físicos quanto na nuvem, para construir relacionamentos duradouros e impulsionar resultados de negócios."
"Kapitalwise, Inc.",ENTERPRISETECH,"Usando o poder do aprendizado de máquina e preditivo analytics, as soluções da KapitalWise ajudam os bancos a fidelizar e aprimorar as vendas cruzadas, ao mesmo tempo em que melhora o desempenho financeiro resultados para seus clientes. A Plataforma KapitalWise. Fornece: 1. Plataforma de engajamento de PME; 2. Plataforma Bancária Adaptável."
Moengage,ENTERPRISETECH,"O MoEngage oferece uma solução SaaS para engajamento de clientes usada por grandes empresas. Ele usa IA para proporcionar uma experiência altamente personalizada por meio de diversos canais, incluindo notificações push, e-mail e SMS, tudo em um painel completo com análise e orquestração de IA."
OmniChat,ENTERPRISETECH,"O OmniChat é uma plataforma de comércio de bate-papo que conecta call centers e lojas físicas aos clientes via WhatsApp e Facebook Messenger. Oferece controle total da comunicação, integração com sistemas empresariais e sincronização de dados para uma experiência perfeita."
Personetics Technologies,FINTECH ,"A Personetics é líder global em personalização e envolvimento do cliente para instituições financeiras. Sua tecnologia baseada em IA analisa dados financeiros em tempo real, compreende comportamentos financeiros individuais e fornece insights, aconselhamento e programas automatizados. Isso cria diferenciação de mercado e impacto comercial significativo."
Rasa,ENTERPRISETECH,"A Rasa é uma plataforma que oferece a infraestrutura fundamental para a IA conversacional, permitindo a criação de assistentes contextuais robustos. Com mais de 25 milhões de downloads e uma comunidade ativa, a Rasa é amplamente utilizada por desenvolvedores em todo o mundo para aprimorar assistentes de IA baseados em texto e voz."
Treble,ENTERPRISETECH,"A treble.ai possui uma equipe global de 10 pessoas e está crescendo rapidamente, com clientes em 3 continentes e escritórios em 4 países da América Latina. Eles estão empenhados em oferecer soluções para a melhoria e automação de processos empresariais e colaborar com clientes e parceiros para evoluir constantemente sua plataforma."
Heatlh ID,HEALTHTECH,"Com foco na prevenção, unimos tecnologia médica com uma nova experiência do usuário em exames laboratoriais e check-ups saúde (AT HOME LAB TESTS). O próprio cliente realiza a autocoleta em casa, na empresa ou na farmácia e recebe os resultados de forma 100% digital."
SEMPRE,AGTECH ,"Plataforma digital e agentes/consultores que prestam apoio aos produtos, para garantir capilaridade. Busca fomentar a economia colaborativa e a venda direta e facilitada para os produtores do campo."
Apura,CYBERSEGURANÇA,"Fabricante de uma poderosa plataforma de Cyber Threat Intelligence - o BTTng - solução líder no mercado nacional e América Latina na identificação de ameaças cibernéticas. Trabalham com clientes de porte variado e em diversos segmentos como Banco do Brasil, Bradesco, Santander, NuBank, Raízen..."
Escrita com Ciência,EDTECH ,"Oferece soluções educacionais para potencializar a produção de textos científicos (TCC, artigos, monografias, etc)."
Portal de Compras Públicas,GOVTECH,"Plataforma voltada para licitações. Simplifica o acesso às oportunidades disponíveis, aumentando a visibilidade e reduzindo as barreiras tecnológicas de participação, assim diminuindo custos de aquisição da administração pública ao mesmo tempo em que impulsionamos negócios para empresas."
4KST,FINTECH ,"A 4KST resolve a limitação dos modelos de análise preditiva convencionais em capturar mudanças rápidas. Com tecnologia proprietária, eles desenvolvem modelos altamente assertivos, capazes de perceber mudanças em tempo real e com escalabilidade, oferecendo valor que os serviços atuais de aprendizado de máquina não conseguem."
Aquarela Advanced Analytics,MEDIA&ADS,"A Aquarela Analytics é líder na aplicação de Inteligência Artificial em indústrias e empresas. Com a plataforma Vortx, metodologia DCIM e dados exclusivos de mercado, atende clientes globais como Embraer, Coca-Cola e Votorantim, entre outros."
Contentools,MEDIA&ADS,"A Contentools desenvolve um software de marketing de conteúdo para empresas que buscam tráfego, leads e clientes no site para conversão. Seu produto permite que eles definam e gerenciem seus próprios fluxos de trabalho, permitindo estratégia e conteúdo rastreamento de criação e análise."
Cortex,MEDIA&ADS,"A Cortex é a principal plataforma de Growth Intelligence no Brasil e conta com uma equipe de mais de 100 pessoas e constante expansão. Por meio da ciência de dados e big data para melhorar resultados de marketing e vendas para marcas como Nike e Sony, "
CustomerX,MEDIA&ADS,"CustomerX é uma plataforma de gerenciamento de sucesso do cliente que reduz o churn, acompanhando engajamento e necessidades, facilitando renovações e upsells. Oferece jornadas personalizadas, monitora recursos, conduz pesquisas de NPS e automação para melhorar a saúde do cliente e impulsionar o crescimento."
Digitalk Tecnologia,MEDIA&ADS,"A Digitalk é uma plataforma de comunicação que integra múltiplos canais, como WhatsApp e chatbot com IA, em um CRM personalizável e conectado a sistemas legados. Oferece campanhas omnichannel, pesquisas de satisfação e relatórios personalizados, mantendo conformidade com a LGPD. Com um churn rate de 0% e crescimento constante, a Digitalk atrai novos clientes regularmente."
Dom Rock,MEDIA&ADS,"A Dom Rock oferece uma solução de inteligência que atende à preferência por resultados rápidos em vez de abordagens tradicionais. Sua plataforma combina automação e otimização de dados brutos para decisões autônomas de negócios. Baseada em nuvem, big data e IA, a Dom Rock fornece uma base sólida para decisões eficientes e eficazes."
Econodata,FINTECH ,"A Econodata é uma plataforma de prospecção inovadora que usa big data para fornecer informações financeiras cruciais, incluindo preços de ações, demonstrações financeiras e mais. Seu produto principal atende instituições financeiras, fundos de hedge e grandes investidores, visando beneficiar essas empresas com insights valiosos."
Escale,ENTERPRISETECH,"A Escale é uma empresa de marketing e vendas de tecnologia que substitui agências terceirizadas tradicionais. Sua plataforma adquire clientes para grandes marcas B2C, gerenciando o funil de marketing e vendas com um modelo de comissão e investimento próprio para garantir alinhamento e controle"
Exact Sales,FINTECH ,A Exact Sales desenvolve e oferece vendas e software de pré-vendas para aumentar as vendas de pequenos e empresas de médio porte.
Harmo,MEDIA&ADS,"A Harmo é pioneira ao combinar gerenciamento de reputação online com pesquisas NPS, CES e CSAT. Isso proporciona uma visão completa da experiência do cliente ao longo da jornada de compra. Além disso, a equipe de sucesso do cliente auxilia na maximização dos resultados em Gerenciamento da Experiência do Cliente."
Incentivar,MEDIA&ADS,"Crie campanhas de incentivo, estabeleça metas, acompanhe funcionários desempenho e gerenciar prêmios. Melhore o desempenho da sua equipe desempenho com a primeira Incentivetech da América Latina."
Incentive.me,MEDIA&ADS,"Vendedores, funcionários e clientes são pessoas. Portanto, o uso de incentivos é uma estratégia essencial para gerenciar os resultados de qualquer empresa. Incentive-me conecta todos os envolvidos no incentivo cadeia em uma única plataforma de nuvem.  Fazemos ponta a ponta gestão de campanhas: da divulgação à premiação entrega."
InfoPrice,FINTECH ,"A INFOPRICE é uma empresa de inteligência de negócios focada em preço de varejo físico. Ajuda os seus clientes, incluindo indústrias e varejistas melhoram margens, aumentam vendas, e definir melhores estratégias de precificação. "
Intexfy,FINTECH ,"Intexfy é a plataforma de inteligência que ajuda o B2B negócios para encontrar novas contas, atingir metas e crescer."
Itera,MEDIA&ADS,"A Itera é uma fábrica de soluções de IA com 12 anos de experiência, focada no mercado financeiro e privado. Eles desenvolvem projetos personalizados e produtos inovadores, usando sua plataforma de IA chamada Alice, para resolver desafios operacionais em várias indústrias."
Knewin,MEDIA&ADS,"A Knewin oferece soluções globais com análise de big data e inteligência artificial para monitoramento em tempo real de mídia tradicional e digital. Com o maior banco de dados da América Latina, a Knewin fornece inteligência e análise de dados para comunicação e segmentos de marketing."
Leads2b,MEDIA&ADS,"A Leads2b é uma empresa de soluções tecnológicas que é especializada na geração de Leads no mercado B2B. Usando big data e inteligência artificial, Leads2b nutre com informações de mercado um sistema automatizado processo de prospecção, aumentando a eficácia do setor de negócios para que seus clientes atinjam seus objetivos."
Meetime,ENTERPRISETECH,Meetime fornece software para análise de vendas internas. 
Mercos,ENTERPRISETECH,"O Mercos, anteriormente conhecido como Meus Pedidos, é um computador empresa de software que desenvolve e fornece softwares de gerenciamento. "
MindMiners,MEDIA&ADS,"A MindMiners é uma empresa de tecnologia especializada em pesquisa digital e inteligência de marketing. Seu MeSeems, uma rede social de opiniões, possui mais de 2 milhões de usuários prontos para responder pesquisas, permitindo entregas de projetos em metade do tempo do mercado convencional."
Navegg,MEDIA&ADS,"A Navegg é uma empresa latino-americana especializada em segmentação, fornecendo soluções de Big Data e DMP para agências e anunciantes. Ela coleta dados anônimos de usuários online, cria perfis e clusters para melhorar a comunicação com o público-alvo e campanhas publicitárias. "
Neoway,MEDIA&ADS,A Neoway é a maior empresa da América Latina em Big Análise de Dados e Inteligência Artificial
Pareto,MEDIA&ADS,"Estamos revolucionando o mercado de RPA com Tess, a 1ª assistente profissional de IA. Nossa missão é reumanizar pessoas e robotizar processos, liberando a mente humana para criatividade e estratégia. Nossa visão é acelerar o sucesso humano por meio de uma plataforma de automação aprimorada por IA de ponta a ponta."
Ramper,ENTERPRISETECH,"O Ramper é um software de prospecção de vendas para empresas B2B, agilizando a geração de leads outbound. Oferece listas segmentadas, automação de cadências de correio, rastreamento e integração com plataformas de CRM. Ajuda as equipes de vendas a obter leads de qualidade e focar em atividades que impulsionam resultados."
Semantix,MEDIA&ADS,"A Semantix é uma empresa especializada em Big Data, Inteligência Artificial, Internet das Coisas e Dados Análise. Com parceiros como Intel, Cloudera, Lucidworks, Datastax, Mesosphere e uma equipe qualificada de cientistas e engenheiros de dados, a Semantix oferece produtos, consultoria, suporte e treinamento para o mercado latino-americano. "
Sentimonitor,MEDIA&ADS,"A Sentimonitor usa Big Data para fornecer insights da análise de conversas online sobre Viagens e Turismo, ajudando os clientes a tomar decisões informadas e prever tendências. Seu amplo banco de dados continua crescendo."
Spume.co,ENTERPRISETECH,"A Spume.co usa tecnologia para transformar dados em conhecimento por meio da previsão de eventos, análise estatística e ciências humanas. Oferece acompanhamento em tempo real, insights e classificação de conteúdo com o uso de inteligência artificial, aprendizado profundo e aprendizado de máquina."
STILINGUE,ENTERPRISETECH,"A STILINGUE é uma plataforma brasileira de IA SaaS que unifica a voz do cliente para grandes marcas como Natura, Itaú, Claro, Bradesco e Kroton. Sua tecnologia de Processamento Natural de Linguagem supera concorrentes em espanhol e português, com uma equipe de quase 200 especialistas em IA."
Tail,MEDIA&ADS,"A Tail é uma empresa de São Paulo que oferece soluções de análise de big data e aprendizado de máquina para insights de perfis de consumidores. Atuando na América Latina e EUA, a Tail fornece serviços de marketing, incluindo análise em tempo real, enriquecimento de dados e conformidade com a LGPD."
WebPeak,MEDIA&ADS,"O WebPeak é um SaaS para SEO e Marketing com mais de 1.300.000 usuários globais. Oferece pesquisa de palavras-chave, auditoria de site, rastreamento de erros e análise de classificação. Além de ser o maior auditor de sites do mundo,  permitindo envio de mapa do site e comparação com concorrentes."
Zipia,INSURTECH,"A Zípia, spin-out da QuinStreet, tem 20 anos de experiência em marketing de performance, focando em seguros e indústria. Com tecnologia e portais de destaque, conecta consumidores de alta intenção de compra com seguradoras e corretoras, visando eficiência e resultados."
Lovyca,ENTERPRISETECH,"Aplicativo de marketplace para Prestação de Serviços, abrangendo toda a jornada da contratação e pagamento, em 12x sem juros e com a  garantia do serviço."
Banco Afro,FINTECH ,"Uma das frentes de atuação do Banco Afro é voltado para a criação e gestão de Programas Sociais, não onerando os entes públicos e fornecendo um aplicativo white label, customizando e lançando os programas em até 48h. Possuem ferramentas de segurança para impedir fraudes em programas sociais."
Bitgov,GOVTECH,"Fintech com o propósito de aumentar a confiança entre o Mercado Financeiro e os Fornecedores do Governo. Com tecnologias para fazer análise de crédito com dados públicos de contratações e pagamentos, oferta serviços e opções de crédito seguro e justo."
Vem Money,FINTECH ,"Plataforma para integração entre paciente, clínicas e instituições financeiras, para financiamento de procedimentos de saúde ou estéticos, através de produtos de crédito de forma segura, rápida, personalizada e automatizada."
Cervest,SUSTAINABILITY ,"Seu produto, EarthScan™, oferece aos usuários sob demanda acesso a visões atuais, históricas e preditivas de como riscos combinados, como enchentes, secas e temperaturas extremas podem impactar os ativos que possuem ou gerenciar. Insights estão disponíveis em vários riscos categorias simultaneamente, remontando a 50 anos e olhando para a frente 80 anos."
Connect Earth,SUSTAINABILITY ,"O Connect Earth é uma plataforma SaaS que calcula a pegada de carbono. Usando um banco de dados aberto e APIs, ele ajuda os clientes a integrar considerações de sustentabilidade em seus produtos, oferecendo soluções como contabilidade climática e portais de carbono."
Doconomy,SUSTAINABILITY ,"Dados de impacto comercial para indivíduos e empresas. Isto oferece uma solução que permite aos usuários rastrear e gerenciar dados de impacto múltiplo, incluindo impacto no estilo de vida, impacto, impacto do produto e muito mais. Facilita as avaliações e melhorias no uso da pegada de carbono para eficiência emissão de CO2."
Emitwise,SUSTAINABILITY ,"A Emitwise utiliza ML para auxiliar empresas a monitorar e relatar suas pegadas de carbono em tempo real. A plataforma também oferece ferramentas para planejamento econômico e estratégias de sustentabilidade, permitindo que as empresas gerenciem seu impacto climático."
Enfuce,SUSTAINABILITY ,"Plataforma de pagamento baseada em nuvem para ajudar bancos, FinTechs e comerciantes oferecem recursos de ponta para seus próprios clientes. Enfuce oferece open banking, uma pegada de carbono rastreador, autenticação forte do cliente e back-office serviço para ambos os jogadores existentes e recém-chegados."
Jupiter,SUSTAINABILITY ,A Jupiter Intelligence prevê riscos de acidentes naturais perigos de tempo e clima severos mudar. Eles estão lançando um série de produtos que fornecem probabilística em nível de ativo de alta resolução análise de risco climático.
Minimum,SUSTAINABILITY ,"As empresas usam o Mínimo para medir seu escopo de carbono 1, 2 e 3 emissões, planejar e executar seu Net Zero estratégia e alcançar o melhor da categoria, relatórios e certificação de sustentabilidade padrões. Minimum oferece sua plataforma e motor por meio de um modelo SaaS ou APIs para empresas se tornem neutras em carbono."
Moss,SUSTAINABILITY ,"MOSS é uma plataforma de compra e venda de carbono usando tecnologia de ponta e blockchain. O MOSS oferece uma maneira para os usuários preservarem o Amazônia, incentivando pessoas e empresas também contribuir para mudar o cenário da aquecimento. A MOSS já está trabalhando com Gol, iFood, Hering, Reserva, Mercado Bitcoin e Elo."
Novisto ,SUSTAINABILITY ,A Novisto é uma solução de gestão de sustentabilidade que integra dados internos e externos para relatórios consolidados. Auxiliando empresasa tomar decisões e criar valor por meio de automação e insights baseados em IA.
Pachama,SUSTAINABILITY ,"A Pachama oferece um mercado de créditos de carbono florestal, com projetos certificados e monitoramento via satélite. Parceiros como Shopify, Microsoft e Softbank utilizam seus serviços para acompanhar emissões e captura de carbono em terras reflorestadas."
Patch,SUSTAINABILITY ,"Patch é uma plataforma que calcula a pegada de carbono das empresas e conecta a projetos de remoção de carbono para compensar emissões. Através de APIs, as empresas podem adquirir créditos negativos de projetos variados. Parcerias incluem bus.com e Tripactions."
Persefoni,SUSTAINABILITY ,"A plataforma SaaS da Persefoni é um ""ERP"" para dados de carbono, permitindo que organizações e investidores calculem e gerenciem sua pegada de carbono. O modelo de dados da Persefoni permite relatórios em diversos formatos, como GHG Protocol, SASB, TCFD, SECR, GRI e CDP."
Sipremo,SUSTAINABILITY ,"O Sipremo é uma plataforma que prevê e monitora desastres naturais e eventos climáticos, contribuindo para a tomada de decisões relacionadas às mudanças climáticas. Com parcerias como Plug and Play, governo de São Paulo e outras organizações, a missão do Sipremo é salvar vidas e melhorar as escolhas de empresas e governos."
Sylvera,SUSTAINABILITY ,"Sylvera é o primeiro fornecedor mundial de classificações de compensação de carbono que aproveita dados geoespaciais, ML e propriedade dados climáticos para criar um relatório confiável e transparente avaliação de projetos de compensação de carbono. como a empresa não vende compensações, não há conflito de interesses ao classificar projetos de compensação."
TCS,SUSTAINABILITY ,"O TCS oferece um sistema de modelagem e análise de riscos climáticos chamado Climanomics, que avalia os impactos financeiros das mudanças climáticas nos ativos. Sua plataforma permite precificar riscos climáticos, realizar análises e divulgações alinhadas com as diretrizes da TCFD. A TCS colabora com empresas como AON, Wells Fargo e IBM."
Amelia,ENTERPRISETECH,"A colaboração entre humanos e máquinas é a melhor oportunidade para a empresa de hoje. Colegas digitais e engenheiros virtuais revolucionarão as experiências humanas por meio da entrega rápida de serviços personalizados. Nenhuma empresa está mais preparada para liderar a marcha em direção a um futuro colaborativo do que Amelia, a líder empresarial em IA confiável."
Kore.ai,ENTERPRISETECH,"A Kore.ai, líder global em IA conversacional, ajuda as empresas a automatizar as interações digitais e de voz para oferecer experiências extraordinárias."
Takeblip,ENTERPRISETECH,"A Take Blip atende aproximadamente 3 mil clientes, incluindo empresas como Itaú Unibanco, Coca-Cola e Nestlé. Sua plataforma utiliza inteligência artificial e chatbots para facilitar a comunicação entre empresas e clientes, respondendo a perguntas com palavras-chave."
Tecnisys,ENTERPRISETECH,"A Tecnisys é uma empresa de software de código aberto que oferece soluções inovadoras em áreas como Bancos de Dados, Big Data e Business Intelligence. Com nossas próprias plataformas, proporcionamos soluções escaláveis, consultoria e treinamentos personalizados."
Twixor,FINTECH ,"Oferecemos soluções de transações comerciais por meio de canais de mensagens, com automação inteligente e jornadas digitais em diversos setores como bancos, seguros, varejo e saúde. Nossa abordagem inclui fluxos guiados, comunicações por IA, transferência para agentes humanos e cartões dinâmicos para personalização, melhorando a experiência do cliente, fidelidade e receita, enquanto reduzimos custos."
"yellow.ai
",ENTERPRISETECH,"A yellow.ai é uma plataforma de automação de conversação líder em CX, reconhecida pelo Gartner, IDC e G2 Crowd. Ela integra IA e habilidades humanas para automatizar experiências de usuário para mais de 700 empresas em 30 países, suportando chatbots e voz em 100+ idiomas e 35+ canais, incluindo Web, WhatsApp e Instagram."
Lockin,MOBILITY,"Armário Inteligente que funciona como um ponto de entrega e retirada de encomendas assíncrono, onde o entregador e o destinatário não precisam estar presentes no local ao mesmo tempo. Foco em edifícios corporativos e ""condomínios inteligentes""."
Quantic Pass,CYBERSEGURANÇA,"Solução de Autenticação de usuário com base em Biometria Comportamental. Autenticação de pessoas por “COMO” elas interagem, e não por “O QUE” elas utilizam (foco no comportamento cognitivo, e não na credencial de acesso)."
Tellus/Kore.ai,ENTERPRISETECH ,"Exclusividade para a implantação dos sistemas Kore.ai no Brasil. A Kore.ai é um provedor de IA de conversação, utilizando Linguagem Natural (NPL). "
Credit,AGTECH ,Possuem ferramentas para levar ao produtor do campo uma consultoria completa em soluções de crédito Agro.
i3 Data,ENTERPRISETECH ,"Plataforma baseada no Modelo de Gestão por Performance e Data-driven, integrável a bases de dados e ERP de maneira fácil e ágil.
Utilizam as mais modernas e avançadas técnicas de análise de dados e predições para sustentar o processo decisório dos gestores, em tempo real."
Pronto Paguei,FINTECH ,"Plataforma que possibilita o parcelamento de boletos, como Débitos Veiculares (impostos e multas), Água, Luz, Financiamento, Condomínio ou qualquer outro em até 12x no cartão de crédito."
Akvofluo,SUSTAINABILITY ,Ferramenta que possibilita a gestão do consumo de água. Provê informações de qualidade para promover e certificar o consumo de água realmente consciente e certificar para os stakeholders envolvidos que as edificações tem parâmetros bem definidos de sustentabilidade.
InovaEd,EDTECH ,"Solução voltada para o processo de Seleção de Pessoas. A plataforma digital subsidia o diagnóstico, bem como a elaboração de  PDI (Plano de Desenvolvimento Individual) e acompanhamento continuo da evolução do colaborador. O sistema permite ainda, comparar os resultados de setores da mesma empresa."
DominIA,ENTERPRISETECH ,"Plataforma de Jurimetria com Inteligência Artificial. Possibilita a busca, de maneira prática e rápida, de decisões em todas as instâncias e em diversos tribunais no Brasil."
Meu Baú,MOBILITY,"Pataforma que disponibiliza informações sobre o transporte público para auxiliar os usuários, como previsão de chegada, viagens realizadas, status de viagem, cálculo de rotas e qual linha utilizar para chegar no destino desejado."
Incentiv.me,TAXTECH,"A incentiv é um ecossistema de impacto social que conecta empresas, projetos e pessoas, através das leis de incentivo, utilizando impostos para transformar a sociedade."
Blu365,FINTECH ,Plataforma de renegociação de dívidas online.
Bud,EDTECH ,"Ferramenta de gerenciamento de desempenho que busca ajudar os líderes a melhorar o engajamento, desempenho e bem-estar da equipe, fornecendo um software de gestão de desempenho. "
Cerensa,SUSTAINABILITY ,Plataforma de gestão de sustentabilidade para empresas de qualquer tamanho.
Robbyson,EDTECH ,"Plataforma de gestão de pessoas gamificada, buscando motivar os funcionários a fazerem melhor seu trabalho e serem reconhecidos por isso."
Sigalei,TAXTECH,"Plataforma voltada para ajudar as organizações a mapear, com rapidez, todas as informações políticas e regulatórias relevantes publicadas pelo governo."
PriceBook,EDTECH ,"Aplicativo que permite que os clientes registrem os preços que pagaram nas compras e mercado, para consultar a variação de preço a cada nova compra."
Agência de Governo,GOVTECH,"Assessora os órgãos públicos na execução do Plano de Desenvolvimento de Pessoas. O serviço inclui a disponibilização para os órgãos públicos de uma plataforma tecnológica embarcada de gestão por competência, idealizada por servidores públicos com larga experiência em gestão de pessoas e desenvolvida com a tecnologia e capacidade produtiva da iniciativa  privada."
Mocar,INSURTECH,"Plataforma de recuperação de ativos, especializada em veículos. Tem como principal entrega a localização, monitoramento e o cercamento de veículos roubados por meio dos parceiros em diversas localidades, com alta capilaridade."
ServiceNow,ENTERPRISETECH ,"A ""Now Platform"" atua como a base de todos os fluxos de trabalho digitais e conecta pessoas, funções e sistemas em toda a organização. Atua como a ""plataforma das plataformas""."
AcessOne,CYBERSEGURANÇA,"Plataforma que simplifica a sua jornada de gestão e governança de identidades e acessos, entregue no formato SaaS. Utilizam os maiores padrões de segurança do mercado, assim melhora a segurança e a governança enquanto reduz custos e melhora a agilidade por meio da automação. "
Acordo Certo,FINTECH ,Plataforma de renegociação de dívidas online.
Clavis,CYBERSEGURANÇA,"Soluções para segurança, com destaque para as áreas de Gerenciamento de Vulnerabilidades, Teste de Invasão, Teste de Desempenho, Segurança de Software, Segurança Orientada a Dados, e Governança, Risco e Conformidade"
Dubbox,ENTERPRISETECH ,"A plataforma Bgood tem como foco o Food Service, buscando gerar diversas oportunidades bancárias, desde a abertura de conta dos restaurantes e bares, até oferta de crédito e financiamento personalizada para os entregadores e clientes PJ."
Geoambiente,AGTECH ,"Soluções com base em imagens de satélite e Inteligência Artificial para monitorar plantios de soja e milho. Ferramenta que possui consulta estruturada em módulo, utilizando Earth Engine e Google Cloud."
Accountfy,TAXTECH,"Pataforma de Software as a Service (SaaS) que disponibiliza diversas ferramentas para gestão financeira. Ferramenta voltada para profissionais das áreas de Controladoria, com fácil operacionalização e entendimento."
Asis Tax Tech,TAXTECH,"Nuvem de conhecimento fiscal, aliada à tecnologia de ponta, para ajudar empresas e escritórios de contabilidade a superarem todos os seus desafios tributários."
Busca Legal,TAXTECH,"Auxiliar sua empresa a criar o seu próprio “Busca.Legal with Watson”. Com treinamentos e processos que envolvem tecnologia, conhecimento e atualizações constantes"
DGTax,TAXTECH,"Plataforma digital de revisão da ECD, permite análise e validação das informações contábeis de maneira rápida, eficiente e segura. Permite a identificação de possíveis erros e inconsistências na ECD, correção de forma rápida e precisa, e geração de relatórios."
Dootax,TAXTECH,"Plataforma com objetivo de descomplicar as rotinas fiscais das empresas. Possui soluções como: Pagamento de Tributos, Gestão de Certidões, Caixa Posta Fiscal, Documentos Fiscais Eletrônicos e Gestão de Tarefas Fiscais."
Flux It,TAXTECH,"Solução para automatização da emissão e pagamento da GNRE, DARE, DUA, DIFAL."
LegalBot,REGTECH,"Plataforma SaaS de Compliance Regulatório baseada em algoritmos, robôs e workflows, com o objetivo de automatizar o compliance através da Inteligência Artificial."
Systax,TAXTECH,"Plataforma com atualizações diárias das mudanças da legislação tributária. Base com mais de 25 milhões de regras fiscais, permitindo a  atualização constante dos parâmetros fiscais dos produtos e operações, podendo ser integrado ao sistema da sua empresa."
Taxcel,TAXTECH,"Software por assinatura anual que facilita o gerenciamento de impostos, permitindo uma gestão Data Driven e o Data Analytics tributário."
Soltech,SUSTAINABILITY ,"Plataforma que facilita o financiamento de energia solar, atuando como correspondente de crédito."
Flora Energia,SUSTAINABILITY ,"Fornece energia renovável para os clientes, sem a necessidade de investimento ou obras. Realiza a ponte entre as geradores de energia elétrica e os canais de distribuição, levando economia para os clientes."
Alana,MEDIA&ADS,"Uma scale-up global focada na adoção sustentável de Inteligência Artificial nas empresas, visando potencializar o tempo, criatividade e qualidade de vida das pessoas."
Autaza,ENTERPRISETECH,"Empresa líder em Visão Computacional e Inteligência Artificial para inspeção de qualidade em produtos industriais. Revoluciona a inspeção com tecnologias alinhadas à indústria do futuro, notadamente no setor automotivo, oferecendo soluções avançadas para inspeção automática de carrocerias de automóveis."
Automation Hero,ENTERPRISETECH,"A Automation Hero acelera o processamento de documentos com sua plataforma de IA poderosa e abrangente. Sua IA de ponta, simples de usar, capacita empresas a agilizarem processos e se manterem competitivas ao focar na aceleração dos negócios."
B.Safer,ENTERPRISETECH,"A Bsafer oferece uma solução inovadora para indústrias, visando reduzir erros humanos em operações de alto risco para máquinas e processos. Sua abordagem robusta visa à excelência e estabilidade operacional, utilizando soluções digitais como ferramentas de engenharia para resolver problemas de forma prática, com resultados imediatos."
Biobots,MEDIA&ADS,"Startup que atua como um hub de tecnologia, estúdio de animação e agência de conteúdo, criando avatares/personagens que representam personas digitais sem limitações físicas. Usando dados e inteligência, transformam esses avatares em influenciadores capazes de impulsionar negócios com conteúdo envolvente."
CallRox,MEDIA&ADS,"Automatizam a captura de ligações e videoconferências, integrando informações ao CRM. A tecnologia de transcrição automática analisa conversas para obter insights replicáveis. Possibilitam um processo de coaching baseado em dados, melhorando conversões, diminuindo o ciclo de vendas e agilizando a integração de novos vendedores."
Catalisa,FINTECH ,"A Catalisa revoluciona a indústria bancária ao introduzir o conceito de ""combinabilidade"", permitindo que os bancos construam jornadas de produtos personalizadas como peças de Lego. Isso agiliza a modernização, libertando os bancos de sistemas legados e acelerando a inovação."
Dersalis,ENTERPRISETECH,"A pulseira inteligente que integra produtividade e segurança. Coletam dados vitais dos operadores em tempo real, permitindo gatilhos automáticos para ações preventivas. Receberam prêmios notáveis, incluindo o da Gartner e iNO.VC, pela abordagem inovadora de monitoramento e segurança."
Descript,MEDIA&ADS,"Descript é um editor de vídeo simples como um documento, usando IA e uma interface intuitiva. Ideal para YouTube, TikTok, podcasts e empresas que buscam marketing, vendas, treinamento e colaboração por vídeo. Descript torna o vídeo parte essencial das ferramentas de comunicação, junto a documentos e slides."
Docato,MEDIA&ADS,"A Docato é uma empresa de tecnologia de dados que impulsiona o setor jurídico. Com mais de 70 especialistas e 500 fluxos automatizados, gera resultados financeiros expressivos em litígios. Através de inovação contínua, une direito e tecnologia, oferecendo vantagens competitivas aos clientes com resultados mensuráveis."
Eemóvel,SMART CITIES,"Especialização é em ativos imobiliários, líder em informações na América Latina. Oferecem inteligência imobiliária com dados abrangentes, permitindo a identificação e gestão de oportunidades em diversos setores de negócios."
Izio,MEDIA&ADS,"No IZIO&Co, veem proximidade além dos números e dados, rompendo com um modelo fragmentado. Uma solução completa para comunicação e eficiência, do app à gôndola ao caixa. Eliminam barreiras na indústria, proporcionando mais benefícios com menos custo, conectando a todos, do cliente à empresa."
Jobcoach,ENTERPRISETECH,"A JobCoach oferece soluções de seleção, avaliação e certificação profissional, evoluindo em 10 anos para atender necessidades de RH e colaboradores. Sua gama de plataformas avalia comportamento e conhecimento técnico, permitindo decisões embasadas em métodos científicos para alcançar excelência nas escolhas organizacionais."
